Profile URL,Query
https://medicine.yale.edu/profile/christofer-anderson/,"Christofer Anderson Assistant Professor of Surgery (General, Trauma & Surgical Critical Care) Yale Profile"
https://sociology.yale.edu/people/elijah-anderson,Elijah Anderson Sterling Professor of Sociology and of African American Studies Yale Profile
https://medicine.yale.edu/profile/holley-anderson/,Holley Anderson Assistant Clinical Professor of Social Work in Psychiatry Yale Profile
https://ysph.yale.edu/profile/john-frederick-anderson/,John Anderson Professor Adjunct of Epidemiology (Microbial Diseases) Yale Profile
https://medicine.yale.edu/profile/karen-anderson/,Karen Anderson Professor of Pharmacology and of Molecular Biophysics and Biochemistry Yale Profile
https://ling.yale.edu/profile/stephen-anderson,Stephen Anderson Dorothy R. Diebold Professor Emeritus of Linguistics Yale Profile
https://ysph.yale.edu/profile/theodore-andreadis/,Theodore Andreadis Professor Adjunct of Epidemiology (Microbial Diseases) Yale Profile
https://medicine.yale.edu/profile/liva-andrejeva/,Liva Andrejeva Associate Professor of Radiology and Biomedical Imaging Yale Profile
https://medicine.yale.edu/profile/luis-aneznava/,Luis Anez Associate Professor of Psychiatry Yale Profile
https://medicine.yale.edu/profile/sanjay-aneja/,Sanjay Aneja Assistant Professor of Therapeutic Radiology Yale Profile
https://medicine.yale.edu/profile/ehimen-aneni/,Ehimen Aneni Assistant Professor of Medicine (Cardiovascular Medicine) Yale Profile
https://medicine.yale.edu/profile/uche-aneni/,Uche Aneni Assistant Professor of Child Psychiatry Yale Profile
https://medicine.yale.edu/profile/nancy-angoff/,Nancy Angoff Professor Emeritus of Medicine Yale Profile
https://medicine.yale.edu/profile/ronald-angoff/,Ronald Angoff Clinical Professor of Pediatrics (General Pediatrics) and in the Child Study Center Yale Profile
https://cpsc.yale.edu/people/dana-angluin,Dana Angluin Professor Emeritus of Computer Science Yale Profile
https://medicine.yale.edu/profile/gustavo-angarita/,Gustavo Angarita-Africano Assistant Professor of Psychiatry Yale Profile
https://medicine.yale.edu/profile/aniyizhai-annamalai/,Aniyizhai Annamalai Associate Professor of Psychiatry Yale Profile
https://som.yale.edu/faculty-research/faculty-directory/rick-antle,Rick Antle William S. Beinecke Professor of Accounting Yale Profile
https://medicine.yale.edu/profile/richard-antaya/,Richard Antaya Professor of Dermatology Yale Profile
https://medicine.yale.edu/profile/sible-antony/,Sible Antony Assistant Professor of Anesthesiology Yale Profile
https://history.yale.edu/people/sergei-antonov,Sergei Antonov Assistant Professor Yale Profile
https://medicine.yale.edu/internal-medicine/digestivediseases/profile/catiele-antunes/,Catiele Antunes Assistant Professor of Medicine (Digestive Diseases) Yale Profile
